CountryName;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Afghanistan;48.903;49.66;50.36;50.997;51.568;52.075;52.524;52.931;53.312;53.678;54.041;54.409;54.785;55.167;55.559;55.957;56.355;56.747;57.126;57.491;57.844
Bangladesh;58.06;58.681;59.352;60.071;60.827;61.603;62.372;63.113;63.805;64.437;65.007;65.517;65.985;66.426;66.845;67.246;67.631;67.999;68.352;68.695;69.032
Bhutan;52.575;53.349;54.121;54.89;55.656;56.429;57.216;58.025;58.856;59.705;60.566;61.432;62.289;63.123;63.923;64.676;65.374;66.017;66.606;67.143;67.629
Brunei Darussalam;71.539;71.777;72.009;72.237;72.461;72.681;72.897;73.109;73.317;73.522;73.721;73.913;74.095;74.273;74.449;74.632;74.833;75.058;75.307;75.58;75.869
Cambodia;51.213;51.55;51.882;52.192;52.519;52.908;53.387;53.958;54.616;55.361;56.186;57.078;58.007;58.941;59.858;60.736;61.559;62.326;63.034;63.683;64.272
China;67.934;68.114;68.272;68.417;68.561;68.736;68.976;69.3;69.71;70.197;70.73;71.271;71.774;72.209;72.562;72.83;73.029;73.187;73.333;73.477;73.626
Fiji;63.605;63.786;63.961;64.13;64.295;64.455;64.61;64.76;64.905;65.045;65.18;65.308;65.431;65.549;65.665;65.783;65.907;66.04;66.183;66.337;66.499
French Polynesia;66.673;67.052;67.414;67.747;68.052;68.333;68.598;68.861;69.136;69.429;69.75;70.108;70.498;70.913;71.343;71.774;72.188;72.571;72.913;73.212;73.471
Guam;69.788;70.032;70.283;70.546;70.822;71.114;71.426;71.754;72.094;72.438;72.779;73.103;73.405;73.682;73.935;74.169;74.395;74.624;74.865;75.122;75.396
Hong Kong SAR, China;74.6;75.2;74.8;75.3;75.7;76;76.7;77.2;77.4;77.7;78;78.4;78.6;78.5;79;78.8;79.4;79.4;79.4;79.8;80.1
India;57.613;58.047;58.488;58.93;59.368;59.799;60.22;60.632;61.036;61.43;61.816;62.194;62.567;62.936;63.3;63.659;64.012;64.358;64.697;65.028;65.352
