CountryName;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Bangladesh;;;;;;;;;30;;;;;;35.6;;22;;;;
Bhutan;;;;;;;;;;15;;;;;;;;;43533;;43717
Brunei Darussalam;;;;;;;;;;10;;;;;;;;;;;
Cambodia;;;;;;;;;;;43535;;;;;43721;;;43716;;43535
China;;;;;;;;;;43713;43557;;;43649;;44228;44593;46054;12816;43557;12451
Fiji;;;;;;;;;43594;;;;;;43506;;;;;;
French Polynesia;;;;;;;;;;;6;;;;;;;;;;
Hong Kong SAR, China;;;;;;;;;;;5;;;;;;;;;;
India;;;;43677;;;;;;43585;;;;;;;28;;;;
Indonesia;;43474;;;43655;;;43534;;;;;9;;;;;9;;;43476
Japan;;;;;;;;;;;8;;;;;;;;;;
Kiribati;;;;;;;;;5;;;;;;;;;;;;
Korea, Dem. Rep.;;;;;;;;;;;;;43652;;;;;;;43651;
Korea, Rep.;;;;;;;;;;;4;;;;;;43559;;;;
Lao PDR;;;;;;;;;;;43538;;;;;;43687;;;;
Macao SAR, China;;;;;;;;;;;5;;;;;;;;;;
Malaysia;;;;;;;;;43625;;;;9;;;;;43595;;11;
Maldives;;;;;;;;;;;;43518;;;;;;;;11;
Marshall Islands;;;;;;;;;;12;;;;;;;;18;;;
Micronesia, Fed. Sts.;;;;;;;;;;;18;;;;;;;;;43476;
Mongolia;;;;;;;;;43563;;43502;;;43652;;43590;;;43501;;43650
Myanmar;;;;;;;;;;;15;;;;;;;;;;43624
Nepal;;;;;;;;;;;;21;;;;;43517;;;;
New Caledonia;;;;;;;;;;;8;;;;;;;;;;
New Zealand;;;;;;;;;;;6;;;;;;;;;;
Pakistan;;19;;;;;;;;;;;;;;;;32;;;
Palau;;;;;;;;;9;;;;;;;;;;;;43714
Papua New Guinea;;;;;;;11;;;;;;;;;11;;;;;
Philippines;;;;43725;;;;;43513;;43604;;;43544;;;;;21;;
Samoa;;;;;;;;43711;;;;;;;;;;;;43506;
Singapore;;;;;;;;;;;8;;;;;;;;;;
Solomon Islands;;;;;;;43689;;;;;;;;;;;43597;;;
Sri Lanka;;;;;;;;;;;43546;;;;;43633;;17;;;
Thailand;;;;;;;;;;;;43685;;;;;43505;;;43622;43535
Timor-Leste;;;;;;;;;;;;;43473;12;;;;;;;
Tonga;;;;;;;;;;;;0;3;;;;;;;;
Tuvalu;;;;;;;;;;;5;;;;;;;43471;;;
Vanuatu;;;;;;;;;;;;43621;;;;;;10;;;
Vietnam;;;;;;;;;;;43685;;43624;;;;7;;43529;43529;
