CountryName;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Afghanistan;49.029;48.896;48.834;48.839;48.898;48.978;49.039;49.036;48.93;48.699;48.332;47.835;47.23;46.538;45.761;44.887;43.893;42.779;41.56;40.265;38.94
American Samoa;;;;;;;;;;;;;;;;;43637;;;;43664
Bangladesh;35.385;34.433;33.519;32.648;31.827;31.057;30.331;29.638;28.961;28.294;27.626;26.945;26.252;25.55;24.846;24.152;23.484;22.858;22.283;21.763;21.298
Bhutan;37.88;36.742;35.608;34.531;33.527;32.582;31.659;30.71;29.71;28.664;27.601;26.565;25.601;24.734;23.969;23.283;22.638;21.991;21.319;20.619;19.914
Brunei Darussalam;31.519;31.06;30.421;29.63;28.707;27.666;26.526;25.326;24.114;22.936;21.852;20.913;20.137;19.522;19.065;18.738;18.499;18.292;43664;17.809;17.499
Cambodia;42.367;40.656;38.95;37.261;35.63;34.088;32.65;31.315;30.089;28.992;43644;27.327;26.793;26.44;26.24;26.145;26.098;26.043;25.937;25.755;25.491
China;43637;19.68;18.27;43726;43663;43816;16.98;16.57;15.64;14.64;43538;13.38;31747;15311;47453;43567;43720;43477;41974;41609;43719
Fiji;28.891;28.54;28.184;27.793;27.362;26.897;26.416;25.945;25.505;25.102;24.739;24.41;24.103;23.804;23.508;23.208;22.901;22.586;22.263;21.929;21.583
French Polynesia;28.308;27.399;26.404;25.382;24.371;23.414;22.54;21.755;21.062;20.465;19.961;19.536;19.164;18.822;43603;18.194;17.904;17.636;17.394;17.173;16.967
Guam;25.615;25.055;24.526;24.076;23.718;23.439;23.206;22.967;22.684;22.343;21.936;21.466;20.956;20.434;19.916;19.424;18.977;18.586;18.255;17.987;17.778
Hong Kong SAR, China;12;12;43536;12;43719;43507;43717;43474;43473;43684;43473;43503;43472;43714;43503;43563;43625;43506;43535;43688;43628
India;31.498;30.912;30.343;29.794;29.267;28.766;28.286;27.822;27.365;26.911;26.459;26.004;25.547;25.087;24.622;24.146;23.653;23.144;22.625;22.103;21.595
Indonesia;25.813;25.194;24.594;24.006;23.437;22.907;22.445;22.071;21.795;21.615;21.518;21.486;21.49;43606;21.499;21.476;21.429;21.364;21.283;21.177;21.034
Japan;10;43717;43686;43625;10;19968;43625;43594;43625;43533;43564;43533;43533;43505;8.69360456470183;8.4132922190743;23955;23224;43654;43593;43593
Kiribati;36.713;36.289;35.754;35.126;34.431;33.699;32.965;32.259;31.613;31.048;30.583;30.228;29.965;29.775;29.647;29.572;29.537;29.528;29.526;29.513;29.468
Korea, Dem. Rep.;20.765;20.753;20.708;20.592;20.392;20.106;19.738;19.314;18.859;18.387;17.904;17.414;16.92;16.431;15.961;15.532;15.166;14.87;14.648;14.498;14.411
Korea, Rep.;43511;43571;43662;16;16;43661;15;43569;43629;13;43537;43627;43506;43506;43686;43716;43505;10;43564;9;43564
Lao PDR;42.892;42.431;41.745;40.839;39.735;38.47;37.092;35.678;34.304;33.027;31.91;30.999;30.287;29.753;29.38;29.134;28.966;28.821;28.651;28.429;28.142
Macao SAR, China;19.272;17.999;16.695;15.441;14.294;13.269;12.345;17472;10.617;9.804;9.069;17015;8.016;7.757;7.688;7.806;8.096;8.511;8.999;19238;10.032
Malaysia;28.218;27.984;27.737;27.461;27.139;26.726;26.175;25.466;24.604;23.615;22.543;21.445;20.39;19.435;18.62;17.971;17.498;17.171;16.954;16.828;16.773
Maldives;41.069;39.101;37.008;34.852;32.701;30.625;28.676;26.884;25.279;23.894;22.761;21.897;21.273;20.854;20.615;20.536;20.599;20.77;21.003;21.247;21.449
Marshall Islands;;;;;;;43491;;;41.8;;;;;;35;35;35;;;
Micronesia, Fed. Sts.;34.004;33.505;33.096;32.748;32.443;32.149;31.834;31.467;43555;30.513;29.906;29.21;28.453;27.669;26.886;26.139;25.461;24.872;24.385;24.011;23.751
Mongolia;32.225;30.44;28.621;26.874;25.266;23.842;22.609;21.539;20.619;19.869;19.327;19.035;19.001;19.209;19.627;20.223;20.959;21.769;22.576;23.311;23.892
Myanmar;26.986;26.317;25.769;25.323;24.974;24.719;24.556;24.464;24.415;24.38;24.318;24.193;23.985;23.682;23.28;22.779;22.189;21.544;20.88;20.223;19.601
Nepal;38.546;38.079;37.594;37.09;36.56;35.989;35.357;34.655;33.879;33.036;32.137;31.2;30.249;29.301;28.369;27.451;26.533;25.607;24.676;23.76;22.892
New Caledonia;43641;43671;43609;43608;43607;43729;43546;43546;43517;43636;43576;43727;43726;43514;43541;43513;43663;43724;43512;43540;43662
New Zealand;43602;43572;17.28;16.53;15.95;15.77;15.34;15.23;14.51;14.87;14.66;14.36;13.67;13.94;43510;13.96;14.14;15.14;43631;14.48;14.62
Pakistan;40.374;39.604;38.779;37.94;37.108;36.282;35.447;34.587;33.709;32.836;32.018;31.311;30.749;30.352;30.115;30.023;30.041;30.111;30.178;30.208;30.17
Palau;43637;43546;43639;43667;43546;43519;43516;43542;43480;43509;43599;43539;13;43570;43628;14;12;43690;43599;43537;43719
Papua New Guinea;35.074;35.089;35.175;35.3;35.432;35.533;35.569;35.52;35.377;35.135;34.802;34.396;33.95;33.49;33.03;32.575;32.121;31.659;31.186;30.706;30.229
Philippines;33.016;32.583;32.157;31.749;31.364;31.013;30.702;30.424;30.165;29.912;29.635;29.301;28.892;28.404;27.845;27.238;26.619;26.025;25.489;25.023;24.634
Samoa;33.118;32.74;32.427;32.18;31.994;31.84;31.682;31.487;31.237;30.931;30.595;30.269;29.991;29.778;29.624;29.499;29.355;29.148;28.845;28.442;27.944
Singapore;43573;43541;17;17;43571;43661;16;43658;43509;43689;43688;43688;43566;43595;43534;43506;43534;10;43506;43717;43533
Solomon Islands;39.996;39.531;39.028;38.508;37.984;37.476;37.004;36.577;36.202;35.881;35.615;35.403;35.226;35.061;34.889;34.68;34.409;34.063;33.637;33.132;32.555
Sri Lanka;20.621;20.214;19.862;19.545;19.259;19.009;18.801;18.645;18.542;18.486;18.472;18.49;18.527;18.57;18.606;18.631;18.641;18.636;18.614;18.566;18.477
Thailand;19.189;18.722;18.263;43694;17.327;16.84;16.341;15.841;15.352;14.88;14.435;14.025;13.653;13.32;13.025;12.764;12.533;12.323;12.123;11.927;11.725
Timor-Leste;42.882;43.381;44.012;44.652;45.221;45.596;45.654;45.353;44.698;43.729;42.544;41.288;40.11;39.123;38.376;37.868;37.54;37.289;37.031;36.748;36.445
Tonga;31.092;30.903;30.678;30.372;29.983;29.543;29.108;28.739;28.478;28.334;28.303;28.365;28.468;28.565;28.624;28.611;28.499;28.288;27.982;27.588;27.112
Vanuatu;36.076;35.842;35.609;35.362;35.092;34.783;34.42;34.002;33.53;33.009;32.443;31.84;31.219;30.597;29.993;29.427;28.92;28.475;28.091;27.766;27.486
Vietnam;28.752;27.948;26.901;25.626;24.173;22.636;21.136;19.788;18.677;17.846;17.306;17.031;16.93;16.916;16.943;16.967;16.955;16.902;16.803;16.646;16.428
