CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,8.1883526,9.30019842,9.24774288,8.75306857,8.5828413,8.41888586,9.60961025,8.48382362,8.45631755
Bangladesh,,,,,,3.51985277,3.45994251,2.56535714,2.55280633,2.57304261,2.63507469,2.83809591,2.98271602,2.90868557,3.01076573,3.08433075,3.24425423,3.25702272,3.27840887,3.33638909,3.51898097
Bhutan,,,,,,3.83730574,6.16432645,7.16420582,7.04393163,6.74038946,6.71818748,6.18539493,7.88377977,5.05864446,4.40750008,5.28016742,5.26855265,5.87931199,6.2920885,5.58170816,5.17305548
Brunei Darussalam,,,,,,2.94670073,3.70512633,3.71657997,4.4339233,4.09413877,3.00454621,3.1787238,3.11739947,3.10014097,3.01491426,2.5909625,2.22224399,2.29884374,2.21212225,2.81601903,2.73318412
Cambodia,,,,,,5.3065952,7.21105848,6.30104078,5.92572616,5.53905311,5.82025253,5.65799977,5.90654592,6.68653353,6.33979165,5.76652363,4.19548631,3.48655038,5.45994986,6.260039,5.82000183
China,,,,,,3.54497552,3.80661864,4.04785992,4.35857139,4.51342567,4.62293725,4.58339533,4.81168835,4.84756578,4.74754122,4.68261231,4.55047783,4.35422169,4.62859791,5.1457217,4.97627728
Fiji,,,,,,3.11105821,3.27200393,3.5318195,3.18775025,3.14656649,3.868678,3.28218797,3.48152216,3.35226698,3.6142814,3.60776119,3.83604195,3.74021623,3.57045883,4.17806696,4.11699674
India,,,,,,4.06482428,3.94217524,4.29439569,4.3439785,4.07559567,4.31410811,4.5468353,4.45438843,4.35080111,4.56179291,4.30712688,4.08537783,3.94075346,3.99191133,4.05315674,3.8240044
Indonesia,,,,,,1.9538682,1.99785758,1.93248584,2.07940009,2.28030526,1.95687563,2.23306685,2.23629702,2.53372429,2.36774828,2.7895806,2.90514781,3.09844209,2.80594493,2.82545945,2.91806931
Japan,,,,,,6.80689605,6.95359196,6.890689,7.1765758,7.44069913,7.60341741,7.80608265,7.85746391,7.98807935,7.99472471,8.18191822,8.19861322,8.22948556,8.60504683,9.52575136,9.58899117
Kiribati,,,,,,9.42678352,9.2382489,9.38891112,7.02359598,8.84871781,7.99448442,8.90358584,8.98928872,9.95188747,10.38172452,10.05818497,10.92704338,12.16259592,12.87412547,10.84030368,10.54813934
"Korea, Rep.",,,,,,3.84115995,4.04143984,4.04679866,4.14799715,4.41094234,4.44548634,5.02369779,4.87314802,5.20166906,5.24810777,5.65641499,6.11051696,6.40795189,6.63567447,7.18895648,7.33433912
Lao PDR,,,,,,4.14675425,4.60396102,6.31579794,6.4144509,3.72138272,3.32791252,4.08564548,4.04067648,4.93300468,4.5831881,4.30880247,4.27023203,4.1572034,2.69880893,3.6109052,2.35855251
Malaysia,,,,,,2.84443644,2.79507561,2.72454231,2.92715856,3.03279526,3.03701543,3.39741561,3.40337254,3.95392114,3.74492489,3.2918067,3.65422598,3.60563426,3.47129572,3.97454959,3.99044068
Maldives,,,,,,5.70839634,6.36760933,6.38692468,6.39099762,6.56569897,7.06541845,5.3109733,5.1914405,6.03526593,5.90873587,7.04206114,6.66838084,6.29163256,7.88810623,7.64462315,5.7872356
Marshall Islands,,,,,,15.79050703,19.01933436,19.92555864,18.57208484,18.68149426,22.53329499,19.39671936,18.18265554,17.25669366,17.64168879,17.25707008,19.61655269,19.62053277,17.90819617,17.49421229,16.02645409
"Micronesia, Fed. Sts.",,,,,,9.13020465,8.60682735,7.75966516,6.95514151,7.55845867,7.82725199,8.47916013,7.87478289,9.51564162,10.36000711,12.11948535,11.9245252,11.99534944,12.92532572,13.4205063,13.83144119
Mongolia,,,,,,3.15031319,3.54763188,3.64606856,4.03809257,4.03818511,4.66012718,4.61593935,4.8142928,7.37547581,6.99553707,5.98624578,5.36749318,5.68590481,6.35559098,6.44438699,6.26546921
Myanmar,,,,,,2.13968736,2.11617213,1.8191146,1.83344308,1.79505278,2.11967972,2.07779574,2.3661962,2.26915075,2.27194628,2.11196226,2.04999995,1.94407021,2.03275937,2.11005186,1.92028227
Nepal,,,,,,5.31416561,5.41855,5.49900875,6.61012007,5.87262507,5.40430623,5.32698671,5.56558698,5.44368952,5.77452516,5.72269632,5.6296332,5.51278546,6.08539045,5.98400167,5.86531086
New Zealand,,,,,,7.00118301,6.94771056,7.16337878,7.5925381,7.47181123,7.55787447,7.65951098,7.97306452,7.79326,7.97140942,8.34102385,8.7431797,8.44581902,9.25461124,9.8354191,9.95202372
Pakistan,,,,,,3.267659,3.36090918,3.34800202,3.60703647,3.71612876,3.01725188,2.82453435,2.98992475,2.84686902,2.81449163,3.17690019,3.66627707,3.57270878,3.38478736,2.93915549,3.01609686
Palau,,,,,,11.44840888,11.63975196,11.36776849,9.95606079,11.07245149,12.02855298,8.61559354,8.28564635,8.28740815,9.22636897,8.27807956,8.37409986,8.63549155,8.62219332,8.3973901,9.65156934
Papua New Guinea,,,,,,3.50823417,3.66043578,3.34709505,3.80939566,4.0942661,3.98375069,4.53591659,4.61904217,4.0853313,4.61159536,3.99489295,3.48644252,3.21779727,3.46145708,3.7895621,3.5434904
Philippines,,,,,,3.44929165,3.54187897,3.61927658,3.19884187,3.23121551,3.2091775,2.9983988,2.79116169,3.24713196,3.22814859,3.9138542,3.95164594,3.89202547,3.94970628,4.26311855,4.22977561
