CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,49.029,48.896,48.834,48.839,48.898,48.978,49.039,49.036,48.93,48.699,48.332,47.835,47.23,46.538,45.761,44.887,43.893,42.779,41.56,40.265,38.94
American Samoa,,,,,,,,,,,,,,,,,21.6,,,,18.7
Bangladesh,35.385,34.433,33.519,32.648,31.827,31.057,30.331,29.638,28.961,28.294,27.626,26.945,26.252,25.55,24.846,24.152,23.484,22.858,22.283,21.763,21.298
Bhutan,37.88,36.742,35.608,34.531,33.527,32.582,31.659,30.71,29.71,28.664,27.601,26.565,25.601,24.734,23.969,23.283,22.638,21.991,21.319,20.619,19.914
Brunei Darussalam,31.519,31.06,30.421,29.63,28.707,27.666,26.526,25.326,24.114,22.936,21.852,20.913,20.137,19.522,19.065,18.738,18.499,18.292,18.07,17.809,17.499
Cambodia,42.367,40.656,38.95,37.261,35.63,34.088,32.65,31.315,30.089,28.992,28.06,27.327,26.793,26.44,26.24,26.145,26.098,26.043,25.937,25.755,25.491
China,21.06,19.68,18.27,18.09,17.7,17.12,16.98,16.57,15.64,14.64,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,12.13,11.9
Fiji,28.891,28.54,28.184,27.793,27.362,26.897,26.416,25.945,25.505,25.102,24.739,24.41,24.103,23.804,23.508,23.208,22.901,22.586,22.263,21.929,21.583
French Polynesia,28.308,27.399,26.404,25.382,24.371,23.414,22.54,21.755,21.062,20.465,19.961,19.536,19.164,18.822,18.5,18.194,17.904,17.636,17.394,17.173,16.967
Guam,25.615,25.055,24.526,24.076,23.718,23.439,23.206,22.967,22.684,22.343,21.936,21.466,20.956,20.434,19.916,19.424,18.977,18.586,18.255,17.987,17.778
"Hong Kong SAR, China",12,12,12.3,12,11.9,11.2,9.9,9.1,8.1,7.8,8.1,7.2,7.1,6.9,7.2,8.4,9.6,10.2,11.3,11.8,12.6
India,31.498,30.912,30.343,29.794,29.267,28.766,28.286,27.822,27.365,26.911,26.459,26.004,25.547,25.087,24.622,24.146,23.653,23.144,22.625,22.103,21.595
Indonesia,25.813,25.194,24.594,24.006,23.437,22.907,22.445,22.071,21.795,21.615,21.518,21.486,21.49,21.5,21.499,21.476,21.429,21.364,21.283,21.177,21.034
Japan,10,9.9,9.8,9.6,10,9.54,9.6,9.5,9.6,9.3,9.4,9.3,9.3,9.2,8.69360456470183,8.4132922190743,8.65,8.63,8.7,8.5,8.5
Kiribati,36.713,36.289,35.754,35.126,34.431,33.699,32.965,32.259,31.613,31.048,30.583,30.228,29.965,29.775,29.647,29.572,29.537,29.528,29.526,29.513,29.468
"Korea, Dem. Rep.",20.765,20.753,20.708,20.592,20.392,20.106,19.738,19.314,18.859,18.387,17.904,17.414,16.92,16.431,15.961,15.532,15.166,14.87,14.648,14.498,14.411
"Korea, Rep.",15.2,16.4,16.7,16,16,15.7,15,14.4,13.6,13,13.3,11.6,10.2,10.2,9.8,8.9,9.2,10,9.4,9,9.4
Lao PDR,42.892,42.431,41.745,40.839,39.735,38.47,37.092,35.678,34.304,33.027,31.91,30.999,30.287,29.753,29.38,29.134,28.966,28.821,28.651,28.429,28.142
"Macao SAR, China",19.272,17.999,16.695,15.441,14.294,13.269,12.345,11.47,10.617,9.804,9.069,8.46,8.016,7.757,7.688,7.806,8.096,8.511,8.999,9.52,10.032
Malaysia,28.218,27.984,27.737,27.461,27.139,26.726,26.175,25.466,24.604,23.615,22.543,21.445,20.39,19.435,18.62,17.971,17.498,17.171,16.954,16.828,16.773
Maldives,41.069,39.101,37.008,34.852,32.701,30.625,28.676,26.884,25.279,23.894,22.761,21.897,21.273,20.854,20.615,20.536,20.599,20.77,21.003,21.247,21.449
Marshall Islands,,,,,,,26.1,,,41.8,,,,,,35,35,35,,,
"Micronesia, Fed. Sts.",34.004,33.505,33.096,32.748,32.443,32.149,31.834,31.467,31.03,30.513,29.906,29.21,28.453,27.669,26.886,26.139,25.461,24.872,24.385,24.011,23.751
Mongolia,32.225,30.44,28.621,26.874,25.266,23.842,22.609,21.539,20.619,19.869,19.327,19.035,19.001,19.209,19.627,20.223,20.959,21.769,22.576,23.311,23.892
Myanmar,26.986,26.317,25.769,25.323,24.974,24.719,24.556,24.464,24.415,24.38,24.318,24.193,23.985,23.682,23.28,22.779,22.189,21.544,20.88,20.223,19.601
Nepal,38.546,38.079,37.594,37.09,36.56,35.989,35.357,34.655,33.879,33.036,32.137,31.2,30.249,29.301,28.369,27.451,26.533,25.607,24.676,23.76,22.892
