CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bangladesh,,,,,,,,,30,,,,,,35.6,,22,,,,
Bhutan,,,,,,,,,,15,,,,,,,,,9.3,,9.9
Brunei Darussalam,,,,,,,,,,10,,,,,,,,,,,
Cambodia,,,,,,,,,,,11.3,,,,,13.9,,,8.9,,11.3
China,,,,,,,,,,5.9,2.4,,,3.7,,2.21,2.22,2.26,2.35,2.4,2.34
Fiji,,,,,,,,,9.5,,,,,,10.2,,,,,,
French Polynesia,,,,,,,,,,,6,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,5,,,,,,,,,,
India,,,,31.7,,,,,,30.4,,,,,,,28,,,,
Indonesia,,9.1,,,9.7,,,10.3,,,,,9,,,,,9,,,11.1
Japan,,,,,,,,,,,8,,,,,,,,,,
Kiribati,,,,,,,,,5,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,6.7,,,,,,,5.7,
"Korea, Rep.",,,,,,,,,,,4,,,,,,4.4,,,,
Lao PDR,,,,,,,,,,,14.3,,,,,,10.8,,,,
"Macao SAR, China",,,,,,,,,,,5,,,,,,,,,,
Malaysia,,,,,,,,,9.6,,,,9,,,,,10.5,,11,
Maldives,,,,,,,,,,,,22.2,,,,,,,,11,
Marshall Islands,,,,,,,,,,12,,,,,,,,18,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,18,,,,,,,,,11.1,
Mongolia,,,,,,,,,8.4,,6.2,,,6.7,,5.5,,,5.2,,4.7
Myanmar,,,,,,,,,,,15,,,,,,,,,,8.6
Nepal,,,,,,,,,,,,21,,,,,21.2,,,,
New Caledonia,,,,,,,,,,,8,,,,,,,,,,
New Zealand,,,,,,,,,,,6,,,,,,,,,,
Pakistan,,19,,,,,,,,,,,,,,,,32,,,
Palau,,,,,,,,,9,,,,,,,,,,,,6.9
Papua New Guinea,,,,,,,11,,,,,,,,,11,,,,,
Philippines,,,,17.9,,,,,17.2,,19.5,,,20.3,,,,,21,,
Samoa,,,,,,,,3.9,,,,,,,,,,,,10.2,
Singapore,,,,,,,,,,,8,,,,,,,,,,
Solomon Islands,,,,,,,12.8,,,,,,,,,,,12.5,,,
Sri Lanka,,,,,,,,,,,22.3,,,,,17.6,,17,,,
Thailand,,,,,,,,,,,,8.8,,,,,9.2,,,6.6,11.3
Timor-Leste,,,,,,,,,,,,,8.1,12,,,,,,,
Tonga,,,,,,,,,,,,0,3,,,,,,,,
Tuvalu,,,,,,,,,,,5,,,,,,,6.1,,,
Vanuatu,,,,,,,,,,,,5.6,,,,,,10,,,
Vietnam,,,,,,,,,,,8.8,,8.6,,,,7,,5.3,5.3,
