CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,100437,101417,104899,109625,113758,116169,119647,121777,122891,124044,125616,126356,126889,127140,126497,124798,123720,121973,119855,117253,114576
Bangladesh,527587,504891,480667,456232,432405,410610,390017,370937,352498,334504,316983,300591,283458,266688,249579,232606,216105,199737,183893,169711,157890
Bhutan,2752,2590,2363,2118,1899,1741,1583,1474,1399,1333,1263,1175,1088,1003,926,862,812,768,729,687,638
Brunei Darussalam,86,86,86,85,84,82,79,74,70,67,64,62,60,59,58,57,56,54,53,53,55
Cambodia,41249,40683,41563,43392,45290,46309,46106,44631,41961,38558,34884,31316,28037,25383,23476,22042,20930,19874,18792,17567,16171
China,1633808,1544647,1375893,1162575,960972,809206,700611,644236,621642,607828,585027,554286,519912,482382,443233,406101,370640,335768,303084,274052,251554
Fiji,606,584,575,570,566,561,550,534,516,498,482,468,458,452,452,454,456,458,461,460,455
India,3357317,3264201,3179224,3096904,3019000,2938944,2859141,2779095,2692412,2605756,2513120,2421920,2328088,2233293,2136392,2044482,1953399,1863783,1775492,1685035,1595122
Indonesia,395094,374982,357393,342415,326887,310299,293875,276131,258921,243477,230082,219355,210833,202730,222818,187380,179709,171968,164409,158869,154266
Japan,7732,7403,7198,7083,6992,6771,6544,6196,5957,5584,5316,5037,4735,4542,4354,4080,3930,3805,3693,3580,3461
Kiribati,248,240,230,219,210,204,199,197,195,190,181,167,150,133,123,124,134,156,182,203,214
"Korea, Dem. Rep.",15784,17627,20956,25386,30003,33397,34999,34251,31617,27908,23970,20313,17294,15040,13495,12607,12177,11886,11469,11037,10613
"Korea, Rep.",4100,4047,4127,4320,4408,4282,4046,3794,3567,3390,3275,3241,3228,3218,3058,2882,2665,2445,2272,2145,2019
Lao PDR,28536,28607,28491,28147,27498,26549,25394,23943,22374,20882,19596,18467,17560,16850,16295,15853,15510,15257,15026,14743,14376
Malaysia,8267,8006,7823,7643,7542,7345,7199,6964,6633,6155,5648,5125,4753,4425,4198,4023,3842,3651,3531,3466,3484
Maldives,851,794,739,681,622,561,498,436,379,327,281,242,209,183,178,143,129,117,108,100,93
Marshall Islands,101,97,93,89,86,84,83,84,86,87,88,87,85,82,79,76,73,70,67,64,62
"Micronesia, Fed. Sts.",174,175,179,186,192,194,197,196,191,184,175,167,157,147,138,129,121,115,109,105,101
Mongolia,7930,7308,6529,5709,4977,4398,3939,3634,3427,3240,3029,2790,2547,2325,2158,2053,2006,1994,1997,1985,1946
Myanmar,120691,115506,111523,108356,105795,103524,101527,99595,97742,95798,93816,92217,90246,87920,84880,81345,77211,72571,94929,63246,59301
Nepal,97907,94264,90646,87008,83461,79912,76595,73273,69584,65685,61512,57405,53153,48970,45008,41556,38417,35795,33375,31105,28848
New Zealand,653,623,591,564,539,511,487,460,433,415,401,390,382,384,381,385,392,399,412,414,410
Pakistan,592722,587387,576235,561632,546441,534584,525224,519031,513953,507029,496972,483541,467625,451814,440180,435282,437490,445458,456056,465546,470193
Palau,11,11,12,12,12,12,11,10,9,8,7,7,8,8,9,9,8,7,6,5,5
Papua New Guinea,12268,12349,12532,12800,13097,13383,13665,13913,14146,14303,14414,14459,14438,14333,14239,14171,14089,14042,13930,13784,13569
Philippines,118360,112957,107889,102907,98988,95970,93699,92286,91423,90750,90148,89784,89282,88502,87249,85393,82803,80026,76875,73994,71913
Samoa,153,150,149,146,143,139,134,128,121,115,111,107,104,103,103,103,103,103,104,133,103
Singapore,358,341,342,345,343,337,317,284,246,207,180,160,148,144,141,140,142,145,142,143,145
Solomon Islands,464,464,460,456,453,449,448,448,449,451,455,463,474,488,504,518,533,542,547,545,541
Sri Lanka,7241,7269,7357,7423,7388,7236,6945,6545,6127,5721,5464,5350,5328,5369,10358,5181,4924,4661,4368,4127,3912
Thailand,40293,37817,35501,33302,31271,29375,27399,25459,23536,21843,20439,19257,18216,17341,16439,15459,14544,13681,12815,12073,11476
Timor-Leste,4838,4782,4904,5093,5215,5186,5170,5023,4799,4548,4318,3970,3647,3336,3027,2728,2455,2210,2025,1932,1947
Tonga,57,55,55,56,57,57,55,53,50,47,45,45,45,46,47,48,49,49,49,49,49
Tuvalu,15,14,13,13,12,12,12,12,12,12,12,11,11,10,9,8,8,7,7,7,6
Vanuatu,177,173,172,171,171,171,172,198,172,171,170,168,165,165,166,170,179,191,202,213,219
Vietnam,98623,95251,91835,87887,83220,77187,70030,62092,54082,47486,43093,40529,40269,41273,42255,42642,42518,41663,40481,39243,38200
