countryname,indicatorname,year,value
Bangladesh,"Birth rate, crude (per 1,000 people)",2002,26.252
Bangladesh,"Birth rate, crude (per 1,000 people)",2003,25.55
Bangladesh,"Birth rate, crude (per 1,000 people)",2004,24.846
Bangladesh,"Birth rate, crude (per 1,000 people)",2005,24.152
Bangladesh,"Birth rate, crude (per 1,000 people)",2006,23.484
Bangladesh,"Birth rate, crude (per 1,000 people)",2007,22.858
Bangladesh,"Birth rate, crude (per 1,000 people)",2008,22.283
Bangladesh,"Birth rate, crude (per 1,000 people)",2009,21.763
Bangladesh,"Birth rate, crude (per 1,000 people)",2010,21.298
Bhutan,"Birth rate, crude (per 1,000 people)",1990,37.88
Bhutan,"Birth rate, crude (per 1,000 people)",1991,36.742
Bhutan,"Birth rate, crude (per 1,000 people)",1992,35.608
Bhutan,"Birth rate, crude (per 1,000 people)",1993,34.531
Bhutan,"Birth rate, crude (per 1,000 people)",1994,33.527
Bhutan,"Birth rate, crude (per 1,000 people)",1995,32.582
Bhutan,"Birth rate, crude (per 1,000 people)",1996,31.659
Bhutan,"Birth rate, crude (per 1,000 people)",1997,30.71
Bhutan,"Birth rate, crude (per 1,000 people)",1998,29.71
Bhutan,"Birth rate, crude (per 1,000 people)",1999,28.664
Bhutan,"Birth rate, crude (per 1,000 people)",2000,27.601
Bhutan,"Birth rate, crude (per 1,000 people)",2001,26.565
Bhutan,"Birth rate, crude (per 1,000 people)",2002,25.601
Bhutan,"Birth rate, crude (per 1,000 people)",2003,24.734
Bhutan,"Birth rate, crude (per 1,000 people)",2004,23.969
Bhutan,"Birth rate, crude (per 1,000 people)",2005,23.283
Bhutan,"Birth rate, crude (per 1,000 people)",2006,22.638
Bhutan,"Birth rate, crude (per 1,000 people)",2007,21.991
Bhutan,"Birth rate, crude (per 1,000 people)",2008,21.319
Bhutan,"Birth rate, crude (per 1,000 people)",2009,20.619
Bhutan,"Birth rate, crude (per 1,000 people)",2010,19.914
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1990,31.519
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1991,31.06
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1992,30.421
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1993,29.63
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1994,28.707
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1995,27.666
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1996,26.526
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1997,25.326
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1998,24.114
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",1999,22.936
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2000,21.852
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2001,20.913
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2002,20.137
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2003,19.522
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2004,19.065
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2005,18.738
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2006,18.499
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2007,18.292
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2008,18.07
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2009,17.809
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",2010,17.499
Cambodia,"Birth rate, crude (per 1,000 people)",1990,42.367
Cambodia,"Birth rate, crude (per 1,000 people)",1991,40.656
Cambodia,"Birth rate, crude (per 1,000 people)",1992,38.95
Cambodia,"Birth rate, crude (per 1,000 people)",1993,37.261
Cambodia,"Birth rate, crude (per 1,000 people)",1994,35.63
Cambodia,"Birth rate, crude (per 1,000 people)",1995,34.088
Cambodia,"Birth rate, crude (per 1,000 people)",1996,32.65
Cambodia,"Birth rate, crude (per 1,000 people)",1997,31.315
Cambodia,"Birth rate, crude (per 1,000 people)",1998,30.089
Cambodia,"Birth rate, crude (per 1,000 people)",1999,28.992
Cambodia,"Birth rate, crude (per 1,000 people)",2000,28.06
Cambodia,"Birth rate, crude (per 1,000 people)",2001,27.327
Cambodia,"Birth rate, crude (per 1,000 people)",2002,26.793
Cambodia,"Birth rate, crude (per 1,000 people)",2003,26.44
Cambodia,"Birth rate, crude (per 1,000 people)",2004,26.24
Cambodia,"Birth rate, crude (per 1,000 people)",2005,26.145
Cambodia,"Birth rate, crude (per 1,000 people)",2006,26.098
Cambodia,"Birth rate, crude (per 1,000 people)",2007,26.043
Cambodia,"Birth rate, crude (per 1,000 people)",2008,25.937
Cambodia,"Birth rate, crude (per 1,000 people)",2009,25.755
Cambodia,"Birth rate, crude (per 1,000 people)",2010,25.491
China,"Birth rate, crude (per 1,000 people)",1990,21.06
China,"Birth rate, crude (per 1,000 people)",1991,19.68
China,"Birth rate, crude (per 1,000 people)",1992,18.27
China,"Birth rate, crude (per 1,000 people)",1993,18.09
China,"Birth rate, crude (per 1,000 people)",1994,17.7
China,"Birth rate, crude (per 1,000 people)",1995,17.12
China,"Birth rate, crude (per 1,000 people)",1996,16.98
China,"Birth rate, crude (per 1,000 people)",1997,16.57
China,"Birth rate, crude (per 1,000 people)",1998,15.64
China,"Birth rate, crude (per 1,000 people)",1999,14.64
China,"Birth rate, crude (per 1,000 people)",2000,14.03
China,"Birth rate, crude (per 1,000 people)",2001,13.38
China,"Birth rate, crude (per 1,000 people)",2002,12.86
China,"Birth rate, crude (per 1,000 people)",2003,12.41
China,"Birth rate, crude (per 1,000 people)",2004,12.29
China,"Birth rate, crude (per 1,000 people)",2005,12.4
China,"Birth rate, crude (per 1,000 people)",2006,12.09
China,"Birth rate, crude (per 1,000 people)",2007,12.1
China,"Birth rate, crude (per 1,000 people)",2008,12.14
China,"Birth rate, crude (per 1,000 people)",2009,12.13
China,"Birth rate, crude (per 1,000 people)",2010,11.9
Fiji,"Birth rate, crude (per 1,000 people)",1990,28.891
Fiji,"Birth rate, crude (per 1,000 people)",1991,28.54
Fiji,"Birth rate, crude (per 1,000 people)",1992,28.184
Fiji,"Birth rate, crude (per 1,000 people)",1993,27.793
Fiji,"Birth rate, crude (per 1,000 people)",1994,27.362
Fiji,"Birth rate, crude (per 1,000 people)",1995,26.897
Fiji,"Birth rate, crude (per 1,000 people)",1996,26.416
Fiji,"Birth rate, crude (per 1,000 people)",1997,25.945
Fiji,"Birth rate, crude (per 1,000 people)",1998,25.505
Fiji,"Birth rate, crude (per 1,000 people)",1999,25.102
Fiji,"Birth rate, crude (per 1,000 people)",2000,24.739
Fiji,"Birth rate, crude (per 1,000 people)",2001,24.41
Fiji,"Birth rate, crude (per 1,000 people)",2002,24.103
Fiji,"Birth rate, crude (per 1,000 people)",2003,23.804
Fiji,"Birth rate, crude (per 1,000 people)",2004,23.508
Fiji,"Birth rate, crude (per 1,000 people)",2005,23.208
Fiji,"Birth rate, crude (per 1,000 people)",2006,22.901
Fiji,"Birth rate, crude (per 1,000 people)",2007,22.586
Fiji,"Birth rate, crude (per 1,000 people)",2008,22.263
Fiji,"Birth rate, crude (per 1,000 people)",2009,21.929
Fiji,"Birth rate, crude (per 1,000 people)",2010,21.583
French Polynesia,"Birth rate, crude (per 1,000 people)",1990,28.308
French Polynesia,"Birth rate, crude (per 1,000 people)",1991,27.399
French Polynesia,"Birth rate, crude (per 1,000 people)",1992,26.404
French Polynesia,"Birth rate, crude (per 1,000 people)",1993,25.382
French Polynesia,"Birth rate, crude (per 1,000 people)",1994,24.371
French Polynesia,"Birth rate, crude (per 1,000 people)",1995,23.414
French Polynesia,"Birth rate, crude (per 1,000 people)",1996,22.54
French Polynesia,"Birth rate, crude (per 1,000 people)",1997,21.755
French Polynesia,"Birth rate, crude (per 1,000 people)",1998,21.062
French Polynesia,"Birth rate, crude (per 1,000 people)",1999,20.465
French Polynesia,"Birth rate, crude (per 1,000 people)",2000,19.961
French Polynesia,"Birth rate, crude (per 1,000 people)",2001,19.536
French Polynesia,"Birth rate, crude (per 1,000 people)",2002,19.164
French Polynesia,"Birth rate, crude (per 1,000 people)",2003,18.822
French Polynesia,"Birth rate, crude (per 1,000 people)",2004,18.5
French Polynesia,"Birth rate, crude (per 1,000 people)",2005,18.194
French Polynesia,"Birth rate, crude (per 1,000 people)",2006,17.904
French Polynesia,"Birth rate, crude (per 1,000 people)",2007,17.636
French Polynesia,"Birth rate, crude (per 1,000 people)",2008,17.394
French Polynesia,"Birth rate, crude (per 1,000 people)",2009,17.173
French Polynesia,"Birth rate, crude (per 1,000 people)",2010,16.967
Guam,"Birth rate, crude (per 1,000 people)",1990,25.615
Guam,"Birth rate, crude (per 1,000 people)",1991,25.055
Guam,"Birth rate, crude (per 1,000 people)",1992,24.526
Guam,"Birth rate, crude (per 1,000 people)",1993,24.076
Guam,"Birth rate, crude (per 1,000 people)",1994,23.718
Guam,"Birth rate, crude (per 1,000 people)",1995,23.439
Guam,"Birth rate, crude (per 1,000 people)",1996,23.206
Guam,"Birth rate, crude (per 1,000 people)",1997,22.967
Guam,"Birth rate, crude (per 1,000 people)",1998,22.684
Guam,"Birth rate, crude (per 1,000 people)",1999,22.343
Guam,"Birth rate, crude (per 1,000 people)",2000,21.936
Guam,"Birth rate, crude (per 1,000 people)",2001,21.466
Guam,"Birth rate, crude (per 1,000 people)",2002,20.956
Guam,"Birth rate, crude (per 1,000 people)",2003,20.434
Guam,"Birth rate, crude (per 1,000 people)",2004,19.916
Guam,"Birth rate, crude (per 1,000 people)",2005,19.424
Guam,"Birth rate, crude (per 1,000 people)",2006,18.977
Guam,"Birth rate, crude (per 1,000 people)",2007,18.586
Guam,"Birth rate, crude (per 1,000 people)",2008,18.255
Guam,"Birth rate, crude (per 1,000 people)",2009,17.987
Guam,"Birth rate, crude (per 1,000 people)",2010,17.778
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1990,12
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1991,12
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1992,12.3
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1993,12
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1994,11.9
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1995,11.2
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1996,9.9
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1997,9.1
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1998,8.1
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",1999,7.8
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2000,8.1
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2001,7.2
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2002,7.1
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2003,6.9
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2004,7.2
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2005,8.4
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2006,9.6
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2007,10.2
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2008,11.3
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2009,11.8
"Hong Kong SAR, China","Birth rate, crude (per 1,000 people)",2010,12.6
India,"Birth rate, crude (per 1,000 people)",1990,31.498
India,"Birth rate, crude (per 1,000 people)",1991,30.912
India,"Birth rate, crude (per 1,000 people)",1992,30.343
India,"Birth rate, crude (per 1,000 people)",1993,29.794
India,"Birth rate, crude (per 1,000 people)",1994,29.267
India,"Birth rate, crude (per 1,000 people)",1995,28.766
India,"Birth rate, crude (per 1,000 people)",1996,28.286
India,"Birth rate, crude (per 1,000 people)",1997,27.822
India,"Birth rate, crude (per 1,000 people)",1998,27.365
India,"Birth rate, crude (per 1,000 people)",1999,26.911
India,"Birth rate, crude (per 1,000 people)",2000,26.459
India,"Birth rate, crude (per 1,000 people)",2001,26.004
India,"Birth rate, crude (per 1,000 people)",2002,25.547
India,"Birth rate, crude (per 1,000 people)",2003,25.087
India,"Birth rate, crude (per 1,000 people)",2004,24.622
India,"Birth rate, crude (per 1,000 people)",2005,24.146
India,"Birth rate, crude (per 1,000 people)",2006,23.653
India,"Birth rate, crude (per 1,000 people)",2007,23.144
India,"Birth rate, crude (per 1,000 people)",2008,22.625
India,"Birth rate, crude (per 1,000 people)",2009,22.103
India,"Birth rate, crude (per 1,000 people)",2010,21.595
Indonesia,"Birth rate, crude (per 1,000 people)",1990,25.813
Indonesia,"Birth rate, crude (per 1,000 people)",1991,25.194
Indonesia,"Birth rate, crude (per 1,000 people)",1992,24.594
Indonesia,"Birth rate, crude (per 1,000 people)",1993,24.006
Indonesia,"Birth rate, crude (per 1,000 people)",1994,23.437
Indonesia,"Birth rate, crude (per 1,000 people)",1995,22.907
Indonesia,"Birth rate, crude (per 1,000 people)",1996,22.445
Indonesia,"Birth rate, crude (per 1,000 people)",1997,22.071
Indonesia,"Birth rate, crude (per 1,000 people)",1998,21.795
Indonesia,"Birth rate, crude (per 1,000 people)",1999,21.615
Indonesia,"Birth rate, crude (per 1,000 people)",2000,21.518
Indonesia,"Birth rate, crude (per 1,000 people)",2001,21.486
Indonesia,"Birth rate, crude (per 1,000 people)",2002,21.49
Indonesia,"Birth rate, crude (per 1,000 people)",2003,21.5
Indonesia,"Birth rate, crude (per 1,000 people)",2004,21.499
Indonesia,"Birth rate, crude (per 1,000 people)",2005,21.476
Indonesia,"Birth rate, crude (per 1,000 people)",2006,21.429
Indonesia,"Birth rate, crude (per 1,000 people)",2007,21.364
Indonesia,"Birth rate, crude (per 1,000 people)",2008,21.283
Indonesia,"Birth rate, crude (per 1,000 people)",2009,21.177
Indonesia,"Birth rate, crude (per 1,000 people)",2010,21.034
Japan,"Birth rate, crude (per 1,000 people)",1990,10
Japan,"Birth rate, crude (per 1,000 people)",1991,9.9
Japan,"Birth rate, crude (per 1,000 people)",1992,9.8
Japan,"Birth rate, crude (per 1,000 people)",1993,9.6
Japan,"Birth rate, crude (per 1,000 people)",1994,10
Japan,"Birth rate, crude (per 1,000 people)",1995,9.54
Japan,"Birth rate, crude (per 1,000 people)",1996,9.6
Japan,"Birth rate, crude (per 1,000 people)",1997,9.5
Japan,"Birth rate, crude (per 1,000 people)",1998,9.6
Japan,"Birth rate, crude (per 1,000 people)",1999,9.3
Japan,"Birth rate, crude (per 1,000 people)",2000,9.4
Japan,"Birth rate, crude (per 1,000 people)",2001,9.3
Japan,"Birth rate, crude (per 1,000 people)",2002,9.3
Japan,"Birth rate, crude (per 1,000 people)",2003,9.2
Japan,"Birth rate, crude (per 1,000 people)",2004,8.69360456470183
Japan,"Birth rate, crude (per 1,000 people)",2005,8.4132922190743
Japan,"Birth rate, crude (per 1,000 people)",2006,8.65
Japan,"Birth rate, crude (per 1,000 people)",2007,8.63
Japan,"Birth rate, crude (per 1,000 people)",2008,8.7
Japan,"Birth rate, crude (per 1,000 people)",2009,8.5
Japan,"Birth rate, crude (per 1,000 people)",2010,8.5
Kiribati,"Birth rate, crude (per 1,000 people)",1990,36.713
Kiribati,"Birth rate, crude (per 1,000 people)",1991,36.289
Kiribati,"Birth rate, crude (per 1,000 people)",1992,35.754
Kiribati,"Birth rate, crude (per 1,000 people)",1993,35.126
Kiribati,"Birth rate, crude (per 1,000 people)",1994,34.431
Kiribati,"Birth rate, crude (per 1,000 people)",1995,33.699
Kiribati,"Birth rate, crude (per 1,000 people)",1996,32.965
Kiribati,"Birth rate, crude (per 1,000 people)",1997,32.259
Kiribati,"Birth rate, crude (per 1,000 people)",1998,31.613
Kiribati,"Birth rate, crude (per 1,000 people)",1999,31.048
Kiribati,"Birth rate, crude (per 1,000 people)",2000,30.583
Kiribati,"Birth rate, crude (per 1,000 people)",2001,30.228
Kiribati,"Birth rate, crude (per 1,000 people)",2002,29.965
Kiribati,"Birth rate, crude (per 1,000 people)",2003,29.775
Kiribati,"Birth rate, crude (per 1,000 people)",2004,29.647
Kiribati,"Birth rate, crude (per 1,000 people)",2005,29.572
Kiribati,"Birth rate, crude (per 1,000 people)",2006,29.537
Kiribati,"Birth rate, crude (per 1,000 people)",2007,29.528
Kiribati,"Birth rate, crude (per 1,000 people)",2008,29.526
Kiribati,"Birth rate, crude (per 1,000 people)",2009,29.513
Kiribati,"Birth rate, crude (per 1,000 people)",2010,29.468
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1990,20.765
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1991,20.753
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1992,20.708
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1993,20.592
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1994,20.392
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1995,20.106
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1996,19.738
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1997,19.314
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1998,18.859
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",1999,18.387
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2000,17.904
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2001,17.414
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2002,16.92
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2003,16.431
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2004,15.961
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2005,15.532
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2006,15.166
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2007,14.87
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2008,14.648
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2009,14.498
"Korea, Dem. Rep.","Birth rate, crude (per 1,000 people)",2010,14.411
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1990,15.2
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1991,16.4
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1992,16.7
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1993,16
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1994,16
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1995,15.7
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1996,15
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1997,14.4
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1998,13.6
"Korea, Rep.","Birth rate, crude (per 1,000 people)",1999,13
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2000,13.3
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2001,11.6
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2002,10.2
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2003,10.2
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2004,9.8
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2005,8.9
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2006,9.2
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2007,10
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2008,9.4
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2009,9
"Korea, Rep.","Birth rate, crude (per 1,000 people)",2010,9.4
Lao PDR,"Birth rate, crude (per 1,000 people)",1990,42.892
Lao PDR,"Birth rate, crude (per 1,000 people)",1991,42.431
Lao PDR,"Birth rate, crude (per 1,000 people)",1992,41.745
Lao PDR,"Birth rate, crude (per 1,000 people)",1993,40.839
Lao PDR,"Birth rate, crude (per 1,000 people)",1994,39.735
Lao PDR,"Birth rate, crude (per 1,000 people)",1995,38.47
Lao PDR,"Birth rate, crude (per 1,000 people)",1996,37.092
Lao PDR,"Birth rate, crude (per 1,000 people)",1997,35.678
Lao PDR,"Birth rate, crude (per 1,000 people)",1998,34.304
Lao PDR,"Birth rate, crude (per 1,000 people)",1999,33.027
Lao PDR,"Birth rate, crude (per 1,000 people)",2000,31.91
Lao PDR,"Birth rate, crude (per 1,000 people)",2001,30.999
Lao PDR,"Birth rate, crude (per 1,000 people)",2002,30.287
Lao PDR,"Birth rate, crude (per 1,000 people)",2003,29.753
Lao PDR,"Birth rate, crude (per 1,000 people)",2004,29.38
Lao PDR,"Birth rate, crude (per 1,000 people)",2005,29.134
Lao PDR,"Birth rate, crude (per 1,000 people)",2006,28.966
Lao PDR,"Birth rate, crude (per 1,000 people)",2007,28.821
Lao PDR,"Birth rate, crude (per 1,000 people)",2008,28.651
Lao PDR,"Birth rate, crude (per 1,000 people)",2009,28.429
Lao PDR,"Birth rate, crude (per 1,000 people)",2010,28.142
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1990,19.272
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1991,17.999
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1992,16.695
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1993,15.441
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1994,14.294
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1995,13.269
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1996,12.345
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1997,11.47
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1998,10.617
"Macao SAR, China","Birth rate, crude (per 1,000 people)",1999,9.804
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2000,9.069
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2001,8.46
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2002,8.016
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2003,7.757
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2004,7.688
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2005,7.806
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2006,8.096
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2007,8.511
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2008,8.999
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2009,9.52
"Macao SAR, China","Birth rate, crude (per 1,000 people)",2010,10.032
Malaysia,"Birth rate, crude (per 1,000 people)",1990,28.218
Malaysia,"Birth rate, crude (per 1,000 people)",1991,27.984
Malaysia,"Birth rate, crude (per 1,000 people)",1992,27.737
Malaysia,"Birth rate, crude (per 1,000 people)",1993,27.461
Malaysia,"Birth rate, crude (per 1,000 people)",1994,27.139
Malaysia,"Birth rate, crude (per 1,000 people)",1995,26.726
Malaysia,"Birth rate, crude (per 1,000 people)",1996,26.175
Malaysia,"Birth rate, crude (per 1,000 people)",1997,25.466
Malaysia,"Birth rate, crude (per 1,000 people)",1998,24.604
Malaysia,"Birth rate, crude (per 1,000 people)",1999,23.615
Malaysia,"Birth rate, crude (per 1,000 people)",2000,22.543
Malaysia,"Birth rate, crude (per 1,000 people)",2001,21.445
Malaysia,"Birth rate, crude (per 1,000 people)",2002,20.39
Malaysia,"Birth rate, crude (per 1,000 people)",2003,19.435
Malaysia,"Birth rate, crude (per 1,000 people)",2004,18.62
Malaysia,"Birth rate, crude (per 1,000 people)",2005,17.971
Malaysia,"Birth rate, crude (per 1,000 people)",2006,17.498
Malaysia,"Birth rate, crude (per 1,000 people)",2007,17.171
Malaysia,"Birth rate, crude (per 1,000 people)",2008,16.954
Malaysia,"Birth rate, crude (per 1,000 people)",2009,16.828
Malaysia,"Birth rate, crude (per 1,000 people)",2010,16.773
Maldives,"Birth rate, crude (per 1,000 people)",1990,41.069
Maldives,"Birth rate, crude (per 1,000 people)",1991,39.101
Maldives,"Birth rate, crude (per 1,000 people)",1992,37.008
Maldives,"Birth rate, crude (per 1,000 people)",1993,34.852
Maldives,"Birth rate, crude (per 1,000 people)",1994,32.701
Maldives,"Birth rate, crude (per 1,000 people)",1995,30.625
Maldives,"Birth rate, crude (per 1,000 people)",1996,28.676
Maldives,"Birth rate, crude (per 1,000 people)",1997,26.884
Maldives,"Birth rate, crude (per 1,000 people)",1998,25.279
Maldives,"Birth rate, crude (per 1,000 people)",1999,23.894
Maldives,"Birth rate, crude (per 1,000 people)",2000,22.761
Maldives,"Birth rate, crude (per 1,000 people)",2001,21.897
Maldives,"Birth rate, crude (per 1,000 people)",2002,21.273
Maldives,"Birth rate, crude (per 1,000 people)",2003,20.854
Maldives,"Birth rate, crude (per 1,000 people)",2004,20.615
Maldives,"Birth rate, crude (per 1,000 people)",2005,20.536
Maldives,"Birth rate, crude (per 1,000 people)",2006,20.599
Maldives,"Birth rate, crude (per 1,000 people)",2007,20.77
Maldives,"Birth rate, crude (per 1,000 people)",2008,21.003
Maldives,"Birth rate, crude (per 1,000 people)",2009,21.247
Maldives,"Birth rate, crude (per 1,000 people)",2010,21.449
Marshall Islands,"Birth rate, crude (per 1,000 people)",1996,26.1
Marshall Islands,"Birth rate, crude (per 1,000 people)",1999,41.8
Marshall Islands,"Birth rate, crude (per 1,000 people)",2005,35
Marshall Islands,"Birth rate, crude (per 1,000 people)",2006,35
Marshall Islands,"Birth rate, crude (per 1,000 people)",2007,35
"Micronesia, Fed. Sts.","Birth rate, crude (per 1,000 people)",1990,34.004
