countryname,indicatorname,year,value
Afghanistan,"Birth rate, crude (per 1,000 people)",1990,49.029
Afghanistan,"Birth rate, crude (per 1,000 people)",1991,48.896
Afghanistan,"Birth rate, crude (per 1,000 people)",1992,48.834
Afghanistan,"Birth rate, crude (per 1,000 people)",1993,48.839
Afghanistan,"Birth rate, crude (per 1,000 people)",1994,48.898
Afghanistan,"Birth rate, crude (per 1,000 people)",1995,48.978
Afghanistan,"Birth rate, crude (per 1,000 people)",1996,49.039
Afghanistan,"Birth rate, crude (per 1,000 people)",1997,49.036
Afghanistan,"Birth rate, crude (per 1,000 people)",1998,48.93
Afghanistan,"Birth rate, crude (per 1,000 people)",1999,48.699
Afghanistan,"Birth rate, crude (per 1,000 people)",2000,48.332
Afghanistan,"Birth rate, crude (per 1,000 people)",2001,47.835
Afghanistan,"Birth rate, crude (per 1,000 people)",2002,47.23
Afghanistan,"Birth rate, crude (per 1,000 people)",2003,46.538
Afghanistan,"Birth rate, crude (per 1,000 people)",2004,45.761
Afghanistan,"Birth rate, crude (per 1,000 people)",2005,44.887
Afghanistan,"Birth rate, crude (per 1,000 people)",2006,43.893
Afghanistan,"Birth rate, crude (per 1,000 people)",2007,42.779
Afghanistan,"Birth rate, crude (per 1,000 people)",2008,41.56
Afghanistan,"Birth rate, crude (per 1,000 people)",2009,40.265
Afghanistan,"Birth rate, crude (per 1,000 people)",2010,38.94
American Samoa,"Birth rate, crude (per 1,000 people)",2006,21.6
American Samoa,"Birth rate, crude (per 1,000 people)",2010,18.7
Bangladesh,"Birth rate, crude (per 1,000 people)",1990,35.385
Bangladesh,"Birth rate, crude (per 1,000 people)",1991,34.433
Bangladesh,"Birth rate, crude (per 1,000 people)",1992,33.519
Bangladesh,"Birth rate, crude (per 1,000 people)",1993,32.648
Bangladesh,"Birth rate, crude (per 1,000 people)",1994,31.827
Bangladesh,"Birth rate, crude (per 1,000 people)",1995,31.057
Bangladesh,"Birth rate, crude (per 1,000 people)",1996,30.331
Bangladesh,"Birth rate, crude (per 1,000 people)",1997,29.638
Bangladesh,"Birth rate, crude (per 1,000 people)",1998,28.961
Bangladesh,"Birth rate, crude (per 1,000 people)",1999,28.294
Bangladesh,"Birth rate, crude (per 1,000 people)",2000,27.626
Bangladesh,"Birth rate, crude (per 1,000 people)",2001,26.945
