Afghanistan,,,,,,,,,,,,119.899037111574,192.153528278789,203.651040923182,224.914712193371,257.175794656273,280.245644106914,380.400955186598,384.131681276838,458.955781585831,569.940728793286
Bangladesh,298.144991985254,285.296976044023,285.69780982501,292.364526253417,291.325867935804,320.361927718849,383.829955081784,390.407905394037,396.169649473801,398.229546291623,406.531740491075,403.594546213657,401.708153328187,434.046563233432,462.274879844841,485.852888073473,495.853780201055,543.082263122361,618.075883559283,683.614422272329,760.331935200195
Bhutan,559.821618551415,467.656869984625,474.912863588061,453.389092258286,529.54848858519,595.510413390228,617.554770905769,702.538984401936,706.562039136533,764.124259869364,778.391266016094,820.202858862514,897.445333164014,1009.00623184688,1107.92059564068,1257.54864008661,1346.08577480046,1755.16170904287,1810.57617704401,1786.81067200588,2201.29307778936
Brunei Darussalam,13701.8970422471,14002.1071342971,15381.3139100223,14678.0715929009,14220.6363441058,16046.9815826138,16913.9353639107,16779.3384713214,12784.7662234822,14205.7737205539,18154.8349324604,16616.798045418,17016.9434933055,18758.9808946915,22131.9460641106,26337.9181126619,31157.6884478525,32707.7043073602,37798.3935034007,27726.481053695,31453.2243965354
Cambodia,,,,253.193194590562,269.56707598226,321.774639831393,318.149535415338,303.685904650096,268.043043439002,294.865211978005,299.562237635792,319.69245973546,337.804253525763,361.070347600538,407.084906162166,472.448855862778,537.848582712145,629.282877634499,742.942923336176,735.40752391652,782.692789877004
China,316.224430421825,331.474915998499,364.759664140764,375.814293801228,471.760881219945,607.568583122257,707.029771302305,778.943905725537,825.547957082076,869.654882082718,954.552291730423,1047.4778628689,1141.75764437513,1280.60285480797,1498.17379562532,1740.09672638011,2082.18336250102,2673.2941909354,3441.22135457021,3800.47454161277,4514.9405201338
Fiji,1834.99460934282,1881.58013475034,2057.39840026859,2166.05846345028,2383.91825955131,2540.75151834037,2714.24311986153,2641.06808047268,2070.16843332117,2408.16546581581,2076.01330767665,2038.89924111333,2259.05579575103,2835.98091747817,3332.91446001498,3658.61747680046,3750.03499077416,4079.22884156087,4178.32169073543,3369.85520485942,3651.9582906354
French Polynesia,16036.7308807556,16173.4858424675,17334.4007631356,17732.7484168018,16647.1582038702,18505.4593212225,18034.7537588535,15943.318904918,16530.1725080536,16299.2842798506,14530.2260236,,,,,,,,,,
"Hong Kong SAR, China",13485.5448929565,15465.8588553349,17976.4293827655,20395.5173666776,22502.5797409692,23497.4923138193,24818.1545523517,27330.0333502807,25808.970952453,25091.6665997966,25756.6637783278,25230.2163329516,24665.8899982779,23977.0194516698,24928.1003722551,26649.750801707,28224.2150609389,30594.0178410231,31515.6627713018,30697.340383517,32549.998231121
India,375.152019314645,309.327936127406,323.524792197951,307.411043241706,353.292495220701,381.527462218128,408.241774685944,424.086473791529,421.821590067492,451.089144230562,452.413584669676,460.826199948675,480.621442166669,557.897365886494,640.600522160945,729.000727040133,816.733776198888,1050.02480112251,1022.57759195327,1124.51944550849,1387.88008401297
Indonesia,630.66855677001,694.245756576301,740.917747910218,827.810348145865,912.097702939456,1026.27053440703,1137.26564794368,1063.56795617586,463.883002060677,671.005634084103,780.092078954339,748.184746113868,900.130803943843,1065.65654610135,1150.34929408933,1263.48144553621,1590.17790597325,1860.62262569343,2167.85765032782,2262.72078612573,3125.21993359966
Japan,25123.6317862131,28540.7714825993,31013.6471483654,35451.2975115738,38814.8943789814,42522.0665906054,37422.8641429074,34304.1489712264,30969.7380327708,35004.0612719044,37299.6441291293,32716.4186748897,31235.5881843913,33690.9377297154,36441.5044939422,35781.1700525965,34075.9789494111,34033.7012549361,37865.6180313874,39322.6047284114,42909.2341523544
Kiribati,392.397054127275,648.556547733989,665.003342745657,641.996871367677,732.976609728891,741.191612242514,860.081126804069,862.357422866277,822.715361738745,850.873567624752,799.856611192383,734.949246079786,827.302084463241,1014.1353334623,1128.9515140584,1149.68803299255,1110.46049310709,1277.14940530754,1371.8871524757,1264.09774148915,1465.50457444028
"Korea, Rep.",6642.45121752995,7675.69313756118,8140.21870567526,8869.0207606918,10275.2775348048,12403.913223896,13254.6374001395,12196.7697802359,8133.73124520026,10432.210803657,11947.5772472444,11255.9478894452,12788.5801805177,14219.1935856009,15921.9391974413,18657.5212532106,20917.0302377023,23101.5102258935,20474.8868492383,18338.7063660256,22151.2088921324
Lao PDR,203.764751009607,235.177038456027,250.792570754643,287.28670488354,325.470989929685,363.033829731296,377.276922212171,344.669512997704,247.852856109146,276.707260960585,324.019694710462,326.0306988987,319.53253580794,362.667739612823,418.173254328867,476.162405720665,591.36477247124,710.98033776805,900.499553549039,947.955525742507,1147.09538658271
"Macao SAR, China",8312.17567352937,9377.73957183186,12126.0506618093,13713.3058537843,14979.0412641778,16465.0263708925,16357.4003046856,16199.1352847205,14771.4950504561,13907.5045751927,14127.5666726526,14869.7784192751,15777.5835212807,17584.7896019372,22369.7280123631,25189.6679933942,30368.7865154565,36620.2346271422,40867.5557798491,40876.515267704,53045.9895133661
Malaysia,2417.43690204975,2626.57497540755,3080.86861538782,3395.52594692137,3685.93513836416,4280.01657189049,4743.68848697329,4585.69103496365,3227.80841807922,3456.50039543594,4004.55719127475,3878.7714093459,4132.66774072833,4431.2394550148,4924.58585200036,5564.17323050149,6194.67190541651,7240.68196667962,8486.59933273544,7312.00831363343,9069.04175699503
