CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,50.867,51.671,52.416,53.098,53.713,54.257,54.734,55.159,55.548,55.911,56.265,56.62,56.983,57.357,57.747,58.151,58.564,58.975,59.379,59.772,60.154
Bangladesh,58.793,59.438,60.102,60.784,61.48,62.186,62.9,63.615,64.326,65.025,65.706,66.364,66.996,67.603,68.182,68.734,69.26,69.764,70.25,70.722,71.181
Bhutan,52.344,53.15,53.956,54.759,55.56,56.369,57.195,58.046,58.923,59.822,60.739,61.667,62.59,63.492,64.36,65.173,65.915,66.583,67.178,67.704,68.169
Brunei Darussalam,74.639,74.889,75.134,75.374,75.61,75.842,76.069,76.293,76.512,76.727,76.935,77.132,77.319,77.498,77.678,77.874,78.103,78.374,78.689,79.041,79.414
Cambodia,55.922,56.237,56.533,56.804,57.093,57.446,57.895,58.439,59.076,59.805,60.624,61.525,62.476,63.444,64.4,65.311,66.144,66.89,67.546,68.114,68.605
China,71.086,71.286,71.47,71.643,71.814,72.002,72.229,72.506,72.836,73.214,73.622,74.036,74.43,74.784,75.087,75.339,75.545,75.723,75.889,76.049,76.207
Fiji,67.635,67.901,68.164,68.423,68.679,68.932,69.182,69.429,69.673,69.914,70.153,70.392,70.63,70.867,71.103,71.336,71.564,71.787,72.003,72.212,72.414
French Polynesia,71.092,71.293,71.568,71.924,72.363,72.866,73.406,73.941,74.441,74.891,75.285,75.628,75.94,76.238,76.524,76.802,77.071,77.329,77.574,77.807,78.031
Guam,74.413,74.656,74.91,75.176,75.459,75.762,76.086,76.428,76.785,77.154,77.533,77.92,78.312,78.703,79.086,79.455,79.802,80.125,80.422,80.693,80.941
"Hong Kong SAR, China",80.3,80.7,80.7,80.9,81.5,81.5,82.7,83.2,83,83.2,83.9,84.6,84.5,84.3,84.7,84.5,85.5,85.4,85.5,85.9,86
India,58.291,58.849,59.425,60.002,60.571,61.122,61.646,62.144,62.617,63.064,63.486,63.887,64.273,64.655,65.038,65.432,65.849,66.29,66.752,67.231,67.718
Indonesia,64.734,65.116,65.496,65.87,66.234,66.582,66.909,67.213,67.493,67.752,67.995,68.231,68.467,68.708,68.954,69.203,69.447,69.679,69.895,70.094,70.281
Japan,81.91,82.22,82.35,82.5,82.96,82.84,83.55,83.82,84.01,83.9,84.6,84.9,85.2,85.33,85.59,85.49,85.81,85.99,86.05,86.44,86.3
Kiribati,63.214,63.771,64.293,64.77,65.194,65.565,65.89,66.185,66.461,66.722,66.967,67.192,67.392,67.566,67.719,67.854,67.979,68.099,68.224,68.357,68.504
"Korea, Dem. Rep.",72.859,72.966,72.723,72.125,71.23,70.2,69.253,68.581,68.307,68.458,68.97,69.703,70.458,71.083,71.521,71.769,71.873,71.938,72.043,72.211,72.448
"Korea, Rep.",75.51,75.92,76.38,76.8,77.11,77.41,77.77,78.12,78.45,79.22,79.6,80.04,80.45,80.81,81.35,81.89,82.36,82.73,83.29,83.77,84.07
Lao PDR,54.872,55.409,55.945,56.482,57.017,57.554,58.092,58.634,59.183,59.737,60.297,60.864,61.436,62.008,62.579,63.141,63.69,64.223,64.739,65.235,65.714
"Macao SAR, China",77.63,77.892,78.148,78.401,78.649,78.893,79.132,79.367,79.597,79.823,80.045,80.264,80.479,80.691,80.9,81.105,81.306,81.503,81.696,81.884,82.068
