CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,68718,69482,72376,76190,79446,81513,84495,86193,87162,88136,89393,89702,90059,90292,89873,88704,88007,86945,85513,83723,81775
Bangladesh,363463,348160,332852,317008,302127,288589,275755,264331,253098,242275,231531,220326,209459,198448,187575,175795,164532,152606,141628,131519,123231
Bhutan,1945,1821,1651,1473,1318,1208,1106,1042,1003,968,930,872,814,758,706,662,631,605,581,552,516
Brunei Darussalam,68,68,68,68,66,65,62,59,56,53,51,49,49,48,47,46,45,43,43,43,45
Cambodia,28623,28344,29166,30677,32105,32811,32483,31256,29314,27073,24931,23070,21358,19975,18972,18148,17473,16807,16061,15114,13992
China,1318731,1216711,1056381,866425,694178,569501,503219,476164,473970,477221,472967,457841,435516,410531,381407,350485,320578,289733,260204,235968,216375
Fiji,503,490,485,484,482,479,468,453,435,420,407,396,390,385,387,389,391,393,394,393,390
India,2338465,2280609,2226715,2176015,2129986,2084547,2038422,1987216,1938126,1883786,1828921,1769941,1708183,1647050,1584440,1523808,1465841,1404933,1345948,1287943,1225179
Indonesia,286095,274287,264291,255467,246460,236487,224727,212501,200100,189350,179815,172332,166263,161071,161234,150243,144749,139184,133799,129454,127011
Japan,5491,5233,5078,4992,5043,4844,4753,4533,4301,4052,3907,3625,3445,3263,3201,2938,2919,2807,2703,2598,2596
Kiribati,182,176,169,161,154,150,148,147,147,144,137,124,109,94,86,87,100,121,145,164,173
"Korea, Dem. Rep.",11586,12913,15437,18812,22303,24849,25758,24927,22843,20113,17385,14994,13053,11645,10650,10075,9700,9371,9010,8596,8283
"Korea, Rep.",3424,3414,3566,3747,3887,3756,3483,3224,3009,2781,2679,2692,2704,2644,2603,2440,2298,2093,1985,1871,1753
Lao PDR,19841,19891,19833,19614,19159,18479,17517,16408,15264,14221,13338,12692,12184,11821,11576,11402,11286,11244,11190,11063,10840
Malaysia,7126,6906,6759,6613,6493,6387,6229,6039,5702,5276,4826,4414,4048,3784,3570,3405,3231,3101,2992,2935,2911
Maldives,610,570,531,491,450,410,367,326,286,250,219,192,171,151,140,122,111,101,93,87,81
Marshall Islands,81,78,75,72,70,69,69,71,73,74,75,74,71,69,65,63,60,57,54,52,50
"Micronesia, Fed. Sts.",134,136,140,145,150,153,155,154,150,145,139,132,124,116,108,102,96,91,87,84,81
Mongolia,5693,5171,4547,3917,3372,2965,2712,2567,2485,2410,2307,2153,1988,1836,1727,1666,1654,1669,1687,1696,1670
Myanmar,83142,80179,78191,76744,75630,74706,73789,72910,71986,71049,69913,68872,67648,66090,64040,61438,58240,54659,56086,47633,44646
Nepal,68380,66080,63914,61745,59587,57315,55233,53139,50865,48249,45435,42627,39581,36683,33948,31481,29435,27626,25976,24384,22799
New Zealand,542,515,487,463,443,414,396,371,351,333,326,316,315,316,314,317,323,335,346,347,342
Pakistan,458674,452529,442075,429516,417758,408774,403161,400210,398052,394211,387658,377121,364543,352564,344105,341701,346734,356347,367788,377477,382955
Palau,9,10,10,11,11,11,10,9,7,6,6,6,6,7,8,7,7,6,5,4,4
Papua New Guinea,8969,9082,9263,9524,9807,10061,10270,10474,10640,10773,10848,10844,10786,10686,10623,10588,10561,10576,10560,10515,10372
Philippines,84140,81075,77803,74992,72487,70676,69701,69114,68836,68752,68529,68492,68347,67956,67176,65963,64231,62137,59972,58060,56575
Samoa,129,126,125,124,122,118,114,109,103,98,94,91,90,89,88,88,89,90,90,96,89
Singapore,289,276,277,281,280,272,249,223,188,158,132,119,107,108,104,108,111,113,110,112,113
Solomon Islands,384,383,380,378,376,374,373,373,372,375,379,386,397,408,421,434,445,454,456,456,452
Sri Lanka,6095,6121,6262,6333,6337,6195,5971,5614,5245,4918,4698,4618,4591,4657,5637,4520,4283,4011,3788,3547,3369
Thailand,32835,30989,29188,27602,26065,24549,22929,21264,19730,18317,17165,16209,15385,14620,13923,13161,12405,11681,10944,10325,9844
Timor-Leste,3562,3578,3731,3931,4076,4084,4074,3959,3786,3591,3408,3116,2857,2612,2369,2140,1942,1757,1617,1561,1597
Tonga,48,47,47,49,50,50,48,45,43,40,39,38,39,40,41,42,42,43,43,43,42
Tuvalu,11,11,10,10,9,9,9,9,10,10,10,9,9,8,7,7,6,6,6,5,5
Vanuatu,145,143,143,143,144,144,144,150,145,144,143,141,139,138,139,143,151,162,173,183,188
Vietnam,71389,69336,67497,65022,61801,57414,51816,45402,39090,34124,31010,30186,30958,32494,33885,34694,34565,33844,32746,31736,30865
